equipo,year,pts,pj,pg,pe,pp,gf,gc
"River Plate Ecuador","Manta","0","3","2021"
"Aucas","Técnico Universitario","0","2","2021"
"Delfin SC","CD Olmedo","2","4","2021"
"Mushuc Runa SC","Universidad Católica","2","6","2021"
"Orense SC","Nueve de Octubre","3","1","2021"
"Independiente","LDU de Quito","3","1","2021"
"Macará","Deportivo Cuenca","1","0","2021"
"CD Olmedo","River Plate Ecuador","0","0","2021"
"Manta","Independiente","2","1","2021"
"Técnico Universitario","Mushuc Runa SC","1","3","2021"
"Barcelona SC","Delfin SC","2","1","2021"
"Orense SC","Emelec","2","3","2021"
"LDU de Quito","Macará","2","1","2021"
"Nueve de Octubre","Deportivo Cuenca","2","1","2021"
"Universidad Católica","Aucas","1","1","2021"
"Independiente","Nueve de Octubre","2","1","2021"
"Aucas","CD Olmedo","1","3","2021"
"Deportivo Cuenca","Universidad Católica","0","1","2021"
"River Plate Ecuador","LDU de Quito","2","2","2021"
"Macará","Orense SC","1","0","2021"
"Mushuc Runa SC","Barcelona SC","2","2","2021"
"Universidad Católica","Emelec","2","3","2021"
"Delfin SC","Macará","2","0","2021"
"CD Olmedo","Deportivo Cuenca","2","2","2021"
"LDU de Quito","Manta","1","0","2021"
"Nueve de Octubre","River Plate Ecuador","4","0","2021"
"Barcelona SC","Aucas","3","0","2021"
"Orense SC","Mushuc Runa SC","0","2","2021"
"Emelec","LDU de Quito","1","1","2021"
"Macará","Nueve de Octubre","3","2","2021"
"Manta","Técnico Universitario","0","2","2021"
"Mushuc Runa SC","CD Olmedo","4","0","2021"
"Técnico Universitario","River Plate Ecuador","3","0","2021"
"Barcelona SC","Independiente","2","2","2021"
"Nueve de Octubre","Aucas","1","3","2021"
"Orense SC","Manta","0","1","2021"
"LDU de Quito","Mushuc Runa SC","0","0","2021"
"Delfin SC","Deportivo Cuenca","1","1","2021"
"CD Olmedo","Emelec","2","3","2021"
"Universidad Católica","Macará","1","1","2021"
"Técnico Universitario","Independiente","0","2","2021"
"River Plate Ecuador","Orense SC","4","1","2021"
"Aucas","Delfin SC","3","3","2021"
"Deportivo Cuenca","Orense SC","1","0","2021"
"Emelec","Nueve de Octubre","0","1","2021"
"River Plate Ecuador","Universidad Católica","1","2","2021"
"LDU de Quito","Barcelona SC","2","2","2021"
"Manta","Aucas","1","1","2021"
"Independiente","Delfin SC","2","0","2021"
"Técnico Universitario","CD Olmedo","0","0","2021"
"Mushuc Runa SC","Macará","0","0","2021"
"Barcelona SC","Orense SC","2","0","2021"
"Nueve de Octubre","CD Olmedo","2","0","2021"
"Aucas","Independiente","3","4","2021"
"Mushuc Runa SC","Manta","4","2","2021"
"Universidad Católica","Técnico Universitario","1","1","2021"
"Delfin SC","River Plate Ecuador","1","1","2021"
"Deportivo Cuenca","LDU de Quito","2","2","2021"
"Macará","Emelec","1","1","2021"
"Técnico Universitario","Nueve de Octubre","0","0","2021"
"River Plate Ecuador","Barcelona SC","0","3","2021"
"Emelec","Delfin SC","1","0","2021"
"CD Olmedo","Macará","0","2","2021"
"Manta","Deportivo Cuenca","1","0","2021"
"Independiente","Mushuc Runa SC","2","0","2021"
"LDU de Quito","Universidad Católica","2","1","2021"
"Orense SC","Aucas","2","2","2021"
"Barcelona SC","Técnico Universitario","3","0","2021"
"Nueve de Octubre","Mushuc Runa SC","1","2","2021"
"CD Olmedo","LDU de Quito","0","0","2021"
"Aucas","Emelec","2","3","2021"
"Macará","Independiente","3","1","2021"
"Universidad Católica","Manta","3","3","2021"
"Deportivo Cuenca","River Plate Ecuador","3","0","2021"
"Emelec","Deportivo Cuenca","4","1","2021"
"Orense SC","Independiente","2","0","2021"
"Técnico Universitario","Delfin SC","0","1","2021"
"Manta","Barcelona SC","2","3","2021"
"LDU de Quito","Nueve de Octubre","4","2","2021"
"Mushuc Runa SC","Aucas","1","3","2021"
"River Plate Ecuador","Macará","3","1","2021"
"Universidad Católica","CD Olmedo","3","0","2021"
"Barcelona SC","LDU de Quito","1","1","2020"
"Macará","Independiente","1","0","2020"
"Emelec","CD Olmedo","4","1","2020"
"LDU de Quito","Técnico Universitario","1","2","2020"
"Universidad Católica","Barcelona SC","0","0","2020"
